
1,Bachelor in Business Administration,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Financial literacy, Communication, Strategic thinking"
2,Bachelor of Library & Information Science,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Research skills, Information organization, Communication, Technology proficiency"
3,Bachelor in Business Administration, With IT,"English, Kiswahili, Mathematics, Business Studies, Computer Studies, Physics","Leadership, Financial literacy, Programming, Data analysis"
4,Bachelor of Library and Information Studies,"English, Kiswahili, Mathematics, Computer Studies, History and Government","Research skills, Information management, Communication, Technology proficiency"
5,Bachelor of Business and Office Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Organizational skills, Communication, Time management, Technology proficiency"
6,Bachelor of Science in Information Sciences,"English, Kiswahili, Mathematics, Computer Studies, Physics","Data analysis, Programming, Research skills, Problem-solving"
7,Bachelor of Business Information and Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Data management, Communication, Strategic thinking, Technology proficiency"
8,Bachelor of Business Management (Marine Business Management),"English, Kiswahili, Mathematics, Business Studies, Geography","Leadership, Logistics management, Communication, Environmental awareness"
9,Bachelor of Science (Information Sciences and Knowledge Management),"English, Kiswahili, Mathematics, Computer Studies, Physics","Data analysis, Research skills, Information organization, Problem-solving"
10,Bachelor of Business Management (Civil Aviation Management),"English, Kiswahili, Mathematics, Business Studies, Geography","Leadership, Logistics management, Communication, Strategic thinking"
11,Bachelor of Arts (Business Studies, With IT),"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Financial literacy, Programming, Communication"
12,Bachelor of Science (Records Management and Information Technology),"English, Kiswahili, Mathematics, Computer Studies, History and Government","Data management, Research skills, Communication, Technology proficiency"
13,Bachelor of Science (Innovation Technology Management),"English, Kiswahili, Mathematics, Computer Studies, Physics","Innovation, Problem-solving, Programming, Strategic thinking"
14,Bachelor of Co-operative Management,"English, Kiswahili, Mathematics, Business Studies, Agriculture","Leadership, Financial literacy, Communication, Community development"
15,Bachelor of Co-operative Business,"English, Kiswahili, Mathematics, Business Studies, Agriculture","Leadership, Financial literacy, Communication, Community development"
16,Bachelor of Co-operative and Community Development,"English, Kiswahili, Mathematics, Business Studies, Agriculture","Leadership, Communication, Community development, Problem-solving"
17,Bachelor of Secretarial Management and Administration,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Organizational skills, Communication, Time management, Technology proficiency"
18,Bachelor of Technology (Office Administration and Technology),"English, Kiswahili, Mathematics, Computer Studies, Business Studies","Organizational skills, Communication, Technology proficiency, Problem-solving"
19,Bachelor of Commerce,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Financial literacy, Communication, Strategic thinking, Data analysis"
20,Bachelor of Entrepreneurship,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Innovation, Leadership, Financial literacy, Problem-solving"
21,Bachelor of Entrepreneurship & Small Business Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Innovation, Leadership, Financial literacy, Communication"
22,Bachelor of Entrepreneurship and Small Business,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Innovation, Leadership, Financial literacy, Communication"
23,Bachelor of Science (Entrepreneurship and Small Enterprises Management),"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Innovation, Leadership, Financial literacy, Problem-solving"
24,Bachelor of Science (Entrepreneurship Studies),"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Innovation, Leadership, Financial literacy, Problem-solving"
25,Bachelor of Science in Entrepreneurship,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Innovation, Leadership, Financial literacy, Problem-solving"
26,Bachelor of Procurement and Contract Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Negotiation skills, Financial literacy, Communication, Strategic thinking"
27,Bachelor of Procurement and Supply Chain Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Logistics management, Negotiation skills, Communication, Problem-solving"
28,Bachelor of Purchasing & Supplies Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Negotiation skills, Financial literacy, Communication, Problem-solving"
29,Bachelor of Supply Chain Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Logistics management, Communication, Problem-solving, Strategic thinking"
30,Bachelor of Logistics and Supply Chain Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Logistics management, Communication, Problem-solving, Strategic thinking"
31,Bachelor of Procurement and Logistics Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Negotiation skills, Logistics management, Communication, Problem-solving"
32,Bachelor of Science in Strategic Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Strategic thinking, Communication, Problem-solving"
33,Bachelor of Science In International Business Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Leadership, Communication, Cultural awareness, Strategic thinking"
34,Bachelor of Science in Marketing With IT,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Marketing skills, Communication, Data analysis, Technology proficiency"
35,Bachelor of Science In Co-operative and Entrepreneurship Management,"English, Kiswahili, Mathematics, Business Studies, Agriculture","Leadership, Financial literacy, Communication, Community development"
36,Bachelor of Business Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Financial literacy, Communication, Strategic thinking"
37,Bachelor of Science in Management Science,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Leadership, Strategic thinking, Communication, Problem-solving"
38,Bachelor of Purchasing and Supplies Management,"English, Kiswahili, Mathematics, Business Studies, Computer Studies","Negotiation skills, Financial literacy, Communication, Problem-solving"
39,Bachelor of Science (Hospitality & Tourism Management),"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
40,Bachelor of Science (Hospitality Management),"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
41,Bachelor of Sustainable Tourism & Hospitality Management,"English, Kiswahili, Mathematics, Geography, Biology","Customer service, Communication, Environmental awareness, Problem-solving"
42,Bachelor of Tourism & Hotel Management,"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
43,Bachelor of Travel & Tours Operations Management,"English, Kiswahili, Mathematics, Geography, Business Studies","Customer service, Communication, Cultural awareness, Problem-solving"
44,Bachelor of Catering & Hotel Management,"English, Kiswahili, Mathematics, Business Studies, Geography","Customer service, Communication, Cultural awareness, Problem-solving"
