course,institution,category
Accountant Technician Diploma (ATD),The Eldoret National Polytechnic,diploma
Accountant Technician Diploma (ATD),Katine Technical Training Institute,diploma
Accounting Technician Diploma,Baringo Technical College,diploma
Accounting Technician Diploma,Bunyala Technical and Vocational College,diploma
Accounting Technician Diploma,Butere Technical And Vocational College,diploma
Advanced Diploma in Business Studies and Administration,Thika College of Banking and Accountancy - Thika Campus,diploma
Advanced Diploma in Business Studies and Administration,Thika College of Banking and Accountancy - Nairobi Campus,diploma
Advanced Diploma in Computer Studies,Thika Institute of Business Studies - Thika Town Campus,diploma
Advanced Diploma in Computer Studies,Thika Institute of Business Studies - Highway Campus,diploma
Advanced Diploma in Flight Operations & Dispatch,Skypath Aviation College - Skypath Aviation College,diploma
Advanced Diploma in Legal Studies,Thika Institute of Business Studies - Highway Campus,diploma
Advanced Diploma in Legal Studies,Thika Institute of Business Studies - Thika Town Campus,diploma
"Advanced Diploma in Marketing,Advertising and Public Relations",Thika Institute of Business Studies - Highway Campus,diploma
"Advanced Diploma in Marketing,Advertising and Public Relations",Thika Institute of Business Studies - Thika Town Campus,diploma
Bachelor of Business information Technology (BBIT),Africa Nazarene University - Ongata Rongai Campus,diploma
Bachelor of Business information Technology (BBIT),Africa Nazarene University - Nairobi Campus,diploma
Bachelor of Business information Technology (BBIT),Kenya Methodist University - Main Campus - Meru,diploma
Bachelor of Business information Technology (BBIT),Strathmore University - Strathmore University,diploma
Bachelor of Business information Technology (BBIT),St. Paul's University - Limuru Campus,diploma
Bachelor of Business information Technology (BBIT),Mount Kenya University - Main Campus,diploma
Bachelor of Business information Technology (BBIT),The Presbyterian University of East Africa - Main Campus - Kikuyu,diploma
Bachelor of Business information Technology (BBIT),The East African University - Karen Campus,diploma
Bachelor of Business information Technology (BBIT),Meru University of Science and Technology - Main Campus (Nchiru),diploma
Bachelor of Business information Technology (BBIT),Meru University of Science and Technology - Meru Town Campus,diploma
Bachelor of Business information Technology (BBIT),Multimedia University of Kenya - Mbagathi Campus,diploma
Bachelor of Business information Technology (BBIT),Taita Taveta University College - TTUC,diploma
Bachelor of Business information Technology (BBIT),University of Eastern Africa Baraton - Main Campus - Baraton,diploma
Bachelor of Business information Technology (BBIT),University of Eastern Africa Baraton - Nairobi Extension Centre,diploma
Bachelor of Business information Technology (BBIT),University of Eastern Africa Baraton - Eldoret Extension Centre,diploma
Bachelor of Business information Technology (BBIT),Jomo Kenyatta University of Agriculture and Technology - Westlands Campus (Former Nairobi Campus),diploma
Bachelor of Business information Technology (BBIT),Jomo Kenyatta University of Agriculture and Technology - Nakuru Center,diploma
Bachelor of Business information Technology (BBIT),Zetech University - Pioneer Campus,diploma
Bachelor of Business information Technology (BBIT),Daystar University - Nairobi Campus,diploma
Bachelor of Business information Technology (BBIT),Pan Africa Christian (PAC) University - Main Campus - Roysambu,diploma
Bachelor of Business information Technology (BBIT),Jomo Kenyatta University of Agriculture and Technology - Arusha Center,diploma
Bachelor of Business information Technology (BBIT),Jomo Kenyatta University of Agriculture and Technology - Karen Campus,diploma
Bachelor of Business information Technology (BBIT),Jomo Kenyatta University of Agriculture and Technology - Juja (Main) Campus,diploma
Bachelor of Business information Technology (BBIT),Dedan Kimathi University of Technology - Nyeri (Main campus),diploma
Bachelor of Business information Technology (BBIT),Dedan Kimathi University of Technology - Nairobi Campus,diploma
Bachelor of Business information Technology (BBIT),Kenyatta University - Arusha Campus,diploma
Bachelor of Business information Technology (BBIT),Scott Christian University - Main Campus - Machakos,diploma
Bachelor of Business information Technology (BBIT),Jomo Kenyatta University of Agriculture and Technology - Kitale Centre,diploma
Bachelor of Business Management,Mount Kenya University - Main Campus,diploma
Bachelor of Business Management,The East African University - Karen Campus,diploma
Bachelor of Business Management,Karatina University - Main Campus - Kagochi,diploma
Bachelor of Business Management,Karatina University - Nanyuki Campus,diploma
Bachelor of Business Management,Karatina University - Karatina Town Campus,diploma
Bachelor of Business Management,Egerton University - Njoro Campus,diploma
Bachelor of Business Management,Maasai Mara University - Main Campus,diploma
Bachelor of Business Management,University of Eldoret - Main Campus,diploma
Bachelor of Business Management,Highlands State College - Marsabit Campus,diploma
Bachelor of Business Management,Umma University - Kajiado Campus,diploma
Bachelor of Business Management,Moi University - Nairobi Campus,diploma
Bachelor of Business Management,Moi University - Coast Campus,diploma
Bachelor of Business Management,Maasai Mara University - Nyandarua Campus,diploma
Bachelor of Business Management,Moi University - Main Campus,diploma
Bachelor of Business Management,Moi University - Kitale Campus,diploma
Bachelor of Business Management,University of Kabianga - Main Campus,diploma
Bachelor of Business Management,University of Eldoret - Eldoret Town Campus,diploma
Bachelor of Business Management,Kenya Highlands Evangelical University - Main Campus,diploma
Bachelor of Business Management,Rongo University College - Main Campus - Kitere Hill,diploma
Bachelor of Business Management,Highlands State College - Nairobi CBD Campus,diploma
Bachelor of Business Management,Alupe University,diploma
Bachelor of Business Management,Jodan College of Technology - Thika Main Campus,diploma
Bachelor of Business Management,Bomet University College,diploma
Bachelor of Business Management,Garissa University,diploma
Bachelor of Business Management,Islamic University of Kenya,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kisii University - Kisii Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Africa Nazarene University - Ongata Rongai Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",St. Paul's University - Limuru Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",KCA University - Ruaraka Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Mount Kenya University - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kabarak University - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The Catholic University of Eastern Africa - Gaba Campus - Eldoret,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The Catholic University of Eastern Africa - Kisumu Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",The Catholic University of Eastern Africa - Nairobi City Campus,diploma
